addresses,contracts,createdAt,description,hash,metadata,name,projects,protocol,severity,scanNodeCount,source,findingType
"[""0xa354f35829ae975e850e23e9615b11da1b3dc4de"",""0x28e4f3a7f651294b9564800b2d01f35189a5bfbe"",""0x5486136c6b9fef45c65cf04ea62ae5ddbfe1cbea"",""0x3363bae2fc44da742df13cd3ee94b6bb868ea376"",""0xb549c3aa48401ae083262c5774a7f689e00d7106"",""0xa0c68c638235ee32657e8f720a23cec1bfc77c77"",""0xe9f5c368eccb50751f80d21f6abf004c7b8d4a41"",""0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b"",""0x39aa39c021dfbae8fac545936693ac917d5e7563"",""0x000000000000000000000055ab50fcd0fdb57db5"",""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"",""0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf"",""0x35d1b3f3d7966a1dfe207aa4514c12a259a0492b"",""0xdf8b40c8f9f9a268d9d46aab1c8136f02ee23310"",""0x65c816077c29b557bee980ae3cc2dce80204a0c5"",""0x9c13e225ae007731caa49fd17a41379ab1a489f4"",""0x6b175474e89094c44da98b954eedeac495271d0f"",""0x000000000000000000000000000000000023495a"",""0x0eea166dc8e01f3ca5affa03aa316b3bdb8e6e16"",""0x0000000000000000000000000000000000234959"",""0x0000000000000000000000000000000000000000"",""0x37d26dc2890b35924b40574bac10552794771997"",""0x608669d4914eec1e20408bc4c9efff27bb8cbde5"",""0x342491c093a640c7c2347c4ffa7d8b9cbc84d1eb"",""0xfe5e5d361b2ad62c541bab87c45a0b9b018389a2"",""0xd8ec56013ea119e7181d231e5048f90fbbe753c0"",""0x5d3a536e4d6dbd6114cc1ead35777bab948e3643"",""0x8397259c983751daf40400790063935a11afa28a"",""0x8c818613a97900cc1eda5893f04701b62e7c1138"",""0xa6fa4fb5f76172d178d61b04b0ecd319c5d1c0aa"",""0x86e4dc95c7fbdbf52e33d563bbdb00823894c287"",""0xbafe01ff935c7305907c33bf824352ee5979b526"",""0x23bd3949ceffa7804c9ef13c4326afec08a6d6fa"",""0x1eb4cf3a948e7d72a198fe073ccb8c7a948cd853"",""0x9759a6ac90977b93b58547b4a71c78317f391a28"",""0xfb564da37b41b2f6b6edcc3e56fbf523bd9f2012"",""0x31bd3e21b25aae1061a535cfd542a99d98dee118"",""0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf""]","[{""address"":""0xa354f35829ae975e850e23e9615b11da1b3dc4de"",""name"":"""",""projectId"":""""},{""address"":""0x28e4f3a7f651294b9564800b2d01f35189a5bfbe"",""name"":"""",""projectId"":""""},{""address"":""0x5486136c6b9fef45c65cf04ea62ae5ddbfe1cbea"",""name"":"""",""projectId"":""""},{""address"":""0x3363bae2fc44da742df13cd3ee94b6bb868ea376"",""name"":"""",""projectId"":""""},{""address"":""0xb549c3aa48401ae083262c5774a7f689e00d7106"",""name"":"""",""projectId"":""""},{""address"":""0xa0c68c638235ee32657e8f720a23cec1bfc77c77"",""name"":""RootChainManager"",""projectId"":""polygon""},{""address"":""0xe9f5c368eccb50751f80d21f6abf004c7b8d4a41"",""name"":"""",""projectId"":""""},{""address"":""0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b"",""name"":""Unitroller"",""projectId"":""compound_v2""},{""address"":""0x39aa39c021dfbae8fac545936693ac917d5e7563"",""name"":""cErc20"",""projectId"":""compound_v2""},{""address"":""0x000000000000000000000055ab50fcd0fdb57db5"",""name"":"""",""projectId"":""""},{""address"":""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"",""name"":""USDC"",""projectId"":""coinbase""},{""address"":""0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf"",""name"":"""",""projectId"":""""},{""address"":""0x35d1b3f3d7966a1dfe207aa4514c12a259a0492b"",""name"":""VAT"",""projectId"":""makermcd""},{""address"":""0xdf8b40c8f9f9a268d9d46aab1c8136f02ee23310"",""name"":"""",""projectId"":""""},{""address"":""0x65c816077c29b557bee980ae3cc2dce80204a0c5"",""name"":"""",""projectId"":""""},{""address"":""0x9c13e225ae007731caa49fd17a41379ab1a489f4"",""name"":"""",""projectId"":""""},{""address"":""0x6b175474e89094c44da98b954eedeac495271d0f"",""name"":""DAI"",""projectId"":""makermcd""},{""address"":""0x000000000000000000000000000000000023495a"",""name"":"""",""projectId"":""""},{""address"":""0x0eea166dc8e01f3ca5affa03aa316b3bdb8e6e16"",""name"":"""",""projectId"":""""},{""address"":""0x0000000000000000000000000000000000234959"",""name"":"""",""projectId"":""""},{""address"":""0x0000000000000000000000000000000000000000"",""name"":"""",""projectId"":""""},{""address"":""0x37d26dc2890b35924b40574bac10552794771997"",""name"":"""",""projectId"":""""},{""address"":""0x608669d4914eec1e20408bc4c9efff27bb8cbde5"",""name"":"""",""projectId"":""""},{""address"":""0x342491c093a640c7c2347c4ffa7d8b9cbc84d1eb"",""name"":"""",""projectId"":""""},{""address"":""0xfe5e5d361b2ad62c541bab87c45a0b9b018389a2"",""name"":"""",""projectId"":""""},{""address"":""0xd8ec56013ea119e7181d231e5048f90fbbe753c0"",""name"":"""",""projectId"":""""},{""address"":""0x5d3a536e4d6dbd6114cc1ead35777bab948e3643"",""name"":""CErc20Delegator"",""projectId"":""compound_v2""},{""address"":""0x8397259c983751daf40400790063935a11afa28a"",""name"":"""",""projectId"":""""},{""address"":""0x8c818613a97900cc1eda5893f04701b62e7c1138"",""name"":"""",""projectId"":""""},{""address"":""0xa6fa4fb5f76172d178d61b04b0ecd319c5d1c0aa"",""name"":"""",""projectId"":""""},{""address"":""0x86e4dc95c7fbdbf52e33d563bbdb00823894c287"",""name"":""RootChainProxy"",""projectId"":""matic""},{""address"":""0xbafe01ff935c7305907c33bf824352ee5979b526"",""name"":"""",""projectId"":""""},{""address"":""0x23bd3949ceffa7804c9ef13c4326afec08a6d6fa"",""name"":"""",""projectId"":""""},{""address"":""0x1eb4cf3a948e7d72a198fe073ccb8c7a948cd853"",""name"":"""",""projectId"":""""},{""address"":""0x9759a6ac90977b93b58547b4a71c78317f391a28"",""name"":""JOIN_DAI"",""projectId"":""makermcd""},{""address"":""0xfb564da37b41b2f6b6edcc3e56fbf523bd9f2012"",""name"":"""",""projectId"":""""},{""address"":""0x31bd3e21b25aae1061a535cfd542a99d98dee118"",""name"":"""",""projectId"":""""},{""address"":""0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf"",""name"":""ERC20Predicate"",""projectId"":""matic""}]",2022-09-15T11:57:36.40177083Z,All 0xa354f35829ae975e850e23e9615b11da1b3dc4de tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0xbf89fd9b43799ec1e951b0f8d16bc871d9a47e4c358ea832c88adf0e33b8c5eb,"{""assetImpacted"":""0xa354f35829ae975e850e23e9615b11da1b3dc4de"",""firstTxHash"":""0x338617c2110598075b4ac02004a11eb2f0ced034195b9c879f81276dc7819708"",""lastTxHash"":""0x338617c2110598075b4ac02004a11eb2f0ced034195b9c879f81276dc7819708""}",Assets removed,"[{""contacts"":null,""name"":""Makermcd"",""id"":""makermcd"",""social"":null,""token"":null,""website"":null},{""contacts"":null,""name"":""Coinbase"",""id"":""coinbase"",""social"":null,""token"":null,""website"":null},{""contacts"":null,""name"":""Polygon"",""id"":""polygon"",""social"":null,""token"":null,""website"":null},{""contacts"":null,""name"":""Makermcd"",""id"":""makermcd"",""social"":null,""token"":null,""website"":null},{""contacts"":null,""name"":""Compound V2"",""id"":""compound_v2"",""social"":null,""token"":null,""website"":null},{""contacts"":null,""name"":""Compound V2"",""id"":""compound_v2"",""social"":null,""token"":null,""website"":null},{""contacts"":null,""name"":""Matic"",""id"":""matic"",""social"":null,""token"":null,""website"":null},{""contacts"":null,""name"":""Matic"",""id"":""matic"",""social"":null,""token"":null,""website"":null},{""contacts"":null,""name"":""Makermcd"",""id"":""makermcd"",""social"":null,""token"":null,""website"":null},{""contacts"":null,""name"":""Compound V2"",""id"":""compound_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,CRITICAL,5,"{""transactionHash"":""0x338617c2110598075b4ac02004a11eb2f0ced034195b9c879f81276dc7819708"",""block"":{""number"":15538943,""hash"":""0xc4242af2d7443f63a0db0eb14376df315f81e3aab8f11feedbf9d1ff5d023997"",""timestamp"":""2022-09-15T11:57:11Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0x2260fac5e5542a773aa44fbcfedf7c193bc2c599""]","[{""address"":""0x2260fac5e5542a773aa44fbcfedf7c193bc2c599"",""name"":""WBTC"",""projectId"":""wrappedbtc""}]",2022-09-15T11:48:52.03011864Z,A significant amount 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599 tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0xed6d5c5dbfba7a16fbc85f9483411ab0fd3854d14954ef4467daaddd72ab7490,"{""assetImpacted"":""0x2260fac5e5542a773aa44fbcfedf7c193bc2c599"",""assetVolumeDecreasePercentage"":""21.122887075081913"",""firstTxHash"":""0xb0bd045a99502695ad1a2e33fa32e2b4a35da7c9af445ad98d35b9a697b82e99"",""lastTxHash"":""0xb0bd045a99502695ad1a2e33fa32e2b4a35da7c9af445ad98d35b9a697b82e99""}",Assets significantly decreased,"[{""contacts"":null,""name"":""Wrappedbtc"",""id"":""wrappedbtc"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15538900,""hash"":""0xc0a0fd6e0526f6c510bf7695ca21940c842489c6b39607fa5604b0cdeb5d1753"",""timestamp"":""2022-09-15T11:48:23Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0x38b0e3a59183814957d83df2a97492aed1f003e2""]","[{""address"":""0x38b0e3a59183814957d83df2a97492aed1f003e2"",""name"":"""",""projectId"":""""}]",2022-09-15T11:48:52.070883961Z,A significant amount 0x38b0e3a59183814957d83df2a97492aed1f003e2 tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0xb16ab79cc1398e7955e2a166c59c46ca96faca6945484ae94a43e5c08ddff723,"{""assetImpacted"":""0x38b0e3a59183814957d83df2a97492aed1f003e2"",""assetVolumeDecreasePercentage"":""0"",""firstTxHash"":""undefined"",""lastTxHash"":""undefined""}",Assets significantly decreased,,ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15538900,""hash"":""0xc0a0fd6e0526f6c510bf7695ca21940c842489c6b39607fa5604b0cdeb5d1753"",""timestamp"":""2022-09-15T11:48:23Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0x0335a7610d817aeca1bebbefbd392ecc2ed587b8""]","[{""address"":""0x0335a7610d817aeca1bebbefbd392ecc2ed587b8"",""name"":"""",""projectId"":""""}]",2022-09-15T11:48:52.088472811Z,A significant amount 0x0335a7610d817aeca1bebbefbd392ecc2ed587b8 tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0x843a83f4950c72d3e17fa41d662ee1deb7a392b323d7551f06f907a584750a1a,"{""assetImpacted"":""0x0335a7610d817aeca1bebbefbd392ecc2ed587b8"",""assetVolumeDecreasePercentage"":""0.018547697615237304"",""firstTxHash"":""0x8a3a42c1f6c6f5d9adc21533971ea12e5e0aec938a86ef360780c7de9b09078c"",""lastTxHash"":""0xb5d1161e5500dad7272026b53b6c732b3b679eb9ddd0bdbfb783c1cdcc4b4b5d""}",Assets significantly decreased,,ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15538900,""hash"":""0xc0a0fd6e0526f6c510bf7695ca21940c842489c6b39607fa5604b0cdeb5d1753"",""timestamp"":""2022-09-15T11:48:23Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48""]","[{""address"":""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"",""name"":""USDC"",""projectId"":""coinbase""}]",2022-09-15T11:48:52.009563331Z,A significant amount 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0x2a6593dce96386d03d0f9630fc174d76119913a8cadaa55fe881b40b4e34199a,"{""assetImpacted"":""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"",""assetVolumeDecreasePercentage"":""2.544793239259626"",""firstTxHash"":""0x6edc594da3d4501f520852afbf94d8e45270286f8d1c65bdc74ed47fab4b5c8a"",""lastTxHash"":""0x8ad96a37d7303031b11fc1491eb6a877c31ea6d64fd152903daf3d20f6085585""}",Assets significantly decreased,"[{""contacts"":null,""name"":""Coinbase"",""id"":""coinbase"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15538900,""hash"":""0xc0a0fd6e0526f6c510bf7695ca21940c842489c6b39607fa5604b0cdeb5d1753"",""timestamp"":""2022-09-15T11:48:23Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0xa47c8bf37f92abed4a126bda807a7b7498661acd""]","[{""address"":""0xa47c8bf37f92abed4a126bda807a7b7498661acd"",""name"":"""",""projectId"":""""}]",2022-09-15T11:48:52.108134558Z,A significant amount 0xa47c8bf37f92abed4a126bda807a7b7498661acd tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0x1442f7ff8e16d4815af8c66a9b8ef1b471ed71b3ba69f88557bd5d04f64940d5,"{""assetImpacted"":""0xa47c8bf37f92abed4a126bda807a7b7498661acd"",""assetVolumeDecreasePercentage"":""0.6828095482241718"",""firstTxHash"":""0xadac61c4363d7afd1fe831bfb2f782f95bb9dd25e2a195477eedfdbcbb59f20a"",""lastTxHash"":""0x6456f12cef323f1c5a6a47040f710a19768c3715ee54b564cac6f9ef7ebbd295""}",Assets significantly decreased,,ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15538900,""hash"":""0xc0a0fd6e0526f6c510bf7695ca21940c842489c6b39607fa5604b0cdeb5d1753"",""timestamp"":""2022-09-15T11:48:23Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0x8ffe40a3d0f80c0ce6b203d5cdc1a6a86d9acaea""]","[{""address"":""0x8ffe40a3d0f80c0ce6b203d5cdc1a6a86d9acaea"",""name"":"""",""projectId"":""""}]",2022-09-15T11:48:52.048511705Z,A significant amount 0x8ffe40a3d0f80c0ce6b203d5cdc1a6a86d9acaea tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0x0d79a0c7517cfe95deb9335637fb75b009abf8e7da11684e7118a54b4444b01f,"{""assetImpacted"":""0x8ffe40a3d0f80c0ce6b203d5cdc1a6a86d9acaea"",""assetVolumeDecreasePercentage"":""0.05205279398548349"",""firstTxHash"":""0x9573320d18ec674a9aa75147d2f267b7973b4f918873ffd97a10ef43b920f435"",""lastTxHash"":""0x443897074be7b25b03626a964dc9831160a7561a4dc71c29e9c02a7f003a8329""}",Assets significantly decreased,,ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15538900,""hash"":""0xc0a0fd6e0526f6c510bf7695ca21940c842489c6b39607fa5604b0cdeb5d1753"",""timestamp"":""2022-09-15T11:48:23Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0x0335a7610d817aeca1bebbefbd392ecc2ed587b8""]","[{""address"":""0x0335a7610d817aeca1bebbefbd392ecc2ed587b8"",""name"":"""",""projectId"":""""}]",2022-09-15T00:31:40.878897192Z,A significant amount 0x0335a7610d817aeca1bebbefbd392ecc2ed587b8 tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0x7a4543eec5a51eaa2c4a0ad71626ef8b208a2c1de4a8559d316554e89d60371a,"{""assetImpacted"":""0x0335a7610d817aeca1bebbefbd392ecc2ed587b8"",""assetVolumeDecreasePercentage"":""0.018547697615237304"",""firstTxHash"":""0x8a3a42c1f6c6f5d9adc21533971ea12e5e0aec938a86ef360780c7de9b09078c"",""lastTxHash"":""0xb5d1161e5500dad7272026b53b6c732b3b679eb9ddd0bdbfb783c1cdcc4b4b5d""}",Assets significantly decreased,,ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15535921,""hash"":""0xdf4e1681c28c868f64884d82abb0f845839bac750593554b97d46cab7a886f7b"",""timestamp"":""2022-09-15T00:31:27Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0x2260fac5e5542a773aa44fbcfedf7c193bc2c599""]","[{""address"":""0x2260fac5e5542a773aa44fbcfedf7c193bc2c599"",""name"":""WBTC"",""projectId"":""wrappedbtc""}]",2022-09-15T00:31:40.811730132Z,A significant amount 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599 tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0x757e08dd3ed185fec0a2157451c6e504a3ad2fd15a83cefca7a0003e0dd5d961,"{""assetImpacted"":""0x2260fac5e5542a773aa44fbcfedf7c193bc2c599"",""assetVolumeDecreasePercentage"":""21.326199727377034"",""firstTxHash"":""0x7a59118cb13eda4e99749d6aaf796fa9d7b26e97baa986ef697af5753f2d0c88"",""lastTxHash"":""0xb0bd045a99502695ad1a2e33fa32e2b4a35da7c9af445ad98d35b9a697b82e99""}",Assets significantly decreased,"[{""contacts"":null,""name"":""Wrappedbtc"",""id"":""wrappedbtc"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15535921,""hash"":""0xdf4e1681c28c868f64884d82abb0f845839bac750593554b97d46cab7a886f7b"",""timestamp"":""2022-09-15T00:31:27Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24""]","[{""address"":""0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24"",""name"":""rndr"",""projectId"":""rndr""}]",2022-09-15T00:31:40.83564946Z,A significant amount 0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24 tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0x6d5d97cdda6641e3f1319eb483993bbc0ccefacb12650c19dc1d173032b5a5e2,"{""assetImpacted"":""0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24"",""assetVolumeDecreasePercentage"":""1.5097572394791379"",""firstTxHash"":""0xec76912f147834e4670659ab4f3f18832eba1ee0effe16325754fa9cc918a80b"",""lastTxHash"":""0x431212319513e3c65526311599126c65d6bdb7c2d33ae19cfb6d301e1198a917""}",Assets significantly decreased,"[{""contacts"":null,""name"":""Rndr"",""id"":""rndr"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15535921,""hash"":""0xdf4e1681c28c868f64884d82abb0f845839bac750593554b97d46cab7a886f7b"",""timestamp"":""2022-09-15T00:31:27Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0x6b3595068778dd592e39a122f4f5a5cf09c90fe2""]","[{""address"":""0x6b3595068778dd592e39a122f4f5a5cf09c90fe2"",""name"":""SushiToken"",""projectId"":""sushi""}]",2022-09-15T00:31:40.795169695Z,A significant amount 0x6b3595068778dd592e39a122f4f5a5cf09c90fe2 tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0x6aec03c51ee2b1d98391d47e354d1ff8b0798ad7b9e3c421099060bb95be12f2,"{""assetImpacted"":""0x6b3595068778dd592e39a122f4f5a5cf09c90fe2"",""assetVolumeDecreasePercentage"":""26.75578079850947"",""firstTxHash"":""0x07c4cec4f1f1a25e3383de7e842143934776819584646b2dd9b5d2902a01a6c5"",""lastTxHash"":""0x07c4cec4f1f1a25e3383de7e842143934776819584646b2dd9b5d2902a01a6c5""}",Assets significantly decreased,"[{""contacts"":null,""name"":""Sushi"",""id"":""sushi"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15535921,""hash"":""0xdf4e1681c28c868f64884d82abb0f845839bac750593554b97d46cab7a886f7b"",""timestamp"":""2022-09-15T00:31:27Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0xe7f58a92476056627f9fdb92286778abd83b285f""]","[{""address"":""0xe7f58a92476056627f9fdb92286778abd83b285f"",""name"":"""",""projectId"":""""}]",2022-09-15T00:31:40.903385355Z,A significant amount 0xe7f58a92476056627f9fdb92286778abd83b285f tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0x35534d82f804ba3e67fed66b8bda55bfed81836643d0a16187d5e29e9500d704,"{""assetImpacted"":""0xe7f58a92476056627f9fdb92286778abd83b285f"",""assetVolumeDecreasePercentage"":""0.2767904750989367"",""firstTxHash"":""0x83f29d0e88edf677ea506dc798fa6a7804047ab416405bb6c6698cfbf8a9e08f"",""lastTxHash"":""0x83f29d0e88edf677ea506dc798fa6a7804047ab416405bb6c6698cfbf8a9e08f""}",Assets significantly decreased,,ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15535921,""hash"":""0xdf4e1681c28c868f64884d82abb0f845839bac750593554b97d46cab7a886f7b"",""timestamp"":""2022-09-15T00:31:27Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0x4c3bae16c79c30eeb1004fb03c878d89695e3a99""]","[{""address"":""0x4c3bae16c79c30eeb1004fb03c878d89695e3a99"",""name"":"""",""projectId"":""""}]",2022-09-15T00:31:40.925584959Z,A significant amount 0x4c3bae16c79c30eeb1004fb03c878d89695e3a99 tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0x2d1b1649fd4f6f091698a45ce9f66c45f3bff2750e93808a7f0f1678b9cda7ba,"{""assetImpacted"":""0x4c3bae16c79c30eeb1004fb03c878d89695e3a99"",""assetVolumeDecreasePercentage"":""1.9619064681148521"",""firstTxHash"":""0xe2c1366dbd0f93df29b54769e2e216d8e7b43e45a114bc11c9db643a84f84838"",""lastTxHash"":""0xe2c1366dbd0f93df29b54769e2e216d8e7b43e45a114bc11c9db643a84f84838""}",Assets significantly decreased,,ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15535921,""hash"":""0xdf4e1681c28c868f64884d82abb0f845839bac750593554b97d46cab7a886f7b"",""timestamp"":""2022-09-15T00:31:27Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9""]","[{""address"":""0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9"",""name"":""AAVEToken"",""projectId"":""aave""}]",2022-09-15T00:31:40.858722299Z,A significant amount 0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9 tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0x08ee1fa95ce96c41cd74fecec7ab3521ace32ee7622b1c018b385dcf49eca3b9,"{""assetImpacted"":""0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9"",""assetVolumeDecreasePercentage"":""1.9515509112446827"",""firstTxHash"":""0x2ae5eaa403e6c181e8a8060a6174da61ab6daede3d75a1867295c20f5e105803"",""lastTxHash"":""0x2ae5eaa403e6c181e8a8060a6174da61ab6daede3d75a1867295c20f5e105803""}",Assets significantly decreased,"[{""contacts"":null,""name"":""Aave"",""id"":""aave"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15535921,""hash"":""0xdf4e1681c28c868f64884d82abb0f845839bac750593554b97d46cab7a886f7b"",""timestamp"":""2022-09-15T00:31:27Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
"[""0x6b3595068778dd592e39a122f4f5a5cf09c90fe2""]","[{""address"":""0x6b3595068778dd592e39a122f4f5a5cf09c90fe2"",""name"":""SushiToken"",""projectId"":""sushi""}]",2022-09-14T23:55:00.314382073Z,A significant amount 0x6b3595068778dd592e39a122f4f5a5cf09c90fe2 tokens have been removed from 0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf.,0xffc3e9ad0ec67978039a8d9d8604d0d2d92c2e1627bffcf2e88fc61bf36166d3,"{""assetImpacted"":""0x6b3595068778dd592e39a122f4f5a5cf09c90fe2"",""assetVolumeDecreasePercentage"":""26.75578079850947"",""firstTxHash"":""0x07c4cec4f1f1a25e3383de7e842143934776819584646b2dd9b5d2902a01a6c5"",""lastTxHash"":""0x07c4cec4f1f1a25e3383de7e842143934776819584646b2dd9b5d2902a01a6c5""}",Assets significantly decreased,"[{""contacts"":null,""name"":""Sushi"",""id"":""sushi"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15535758,""hash"":""0x34d209fce1ff2d69050256686bd5d72a6fae7ce314bd017d829d1b26700ff96d"",""timestamp"":""2022-09-14T23:54:19Z"",""chainId"":1},""bot"":{""id"":""0xca504ee43501fe7c20084aa3112f8f57dd8c1e0e8a85d3884b66c252d6fc4f5b"",""name"":null}}",EXPLOIT
