addresses,contracts,createdAt,description,hash,metadata,name,projects,protocol,severity,scanNodeCount,source,findingType
"[""0x7b9d4d8772b8705ddc7456daf821c3022dda0504"",""0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9""]","[{""address"":""0x7b9d4d8772b8705ddc7456daf821c3022dda0504"",""name"":"""",""projectId"":""""},{""address"":""0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9"",""name"":""Pair"",""projectId"":""uniswap_v2""}]",2022-09-16T05:02:44.949092029Z,Attack type: Frontrunning,0x18941637a84da5b873044a674729025fea49310fe1f26b6e7cf8130eeecd6a38,"{""block"":""15543983"",""hash"":""0x20cb66be8bdcb4f3f7d0b307f3e98373a483fc1eeff06a1c5fa7d5e6aec786bb"",""position"":""2"",""tradeSummary"":"""",""uniswapPair"":""0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9"",""victim"":""0x7b9d4d8772b8705ddc7456daf821c3022dda0504""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,2,"{""transactionHash"":"""",""block"":{""number"":15543987,""hash"":""0xaaaec2e8723cf2722b1a83fd1b5eac06704905ab9b7864f95f01734200ff43c3"",""timestamp"":""2022-09-16T05:02:23Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0x7b9d4d8772b8705ddc7456daf821c3022dda0504"",""0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9""]","[{""address"":""0x7b9d4d8772b8705ddc7456daf821c3022dda0504"",""name"":"""",""projectId"":""""},{""address"":""0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9"",""name"":""Pair"",""projectId"":""uniswap_v2""}]",2022-09-16T05:02:31.416234079Z,Attack type: Frontrunning,0xa9ebf0a1355395d6d45b46835c3a0d3b86cd1cc0d367ab1f66fd3e2237f2bd8a,"{""block"":""15543983"",""hash"":""0x20cb66be8bdcb4f3f7d0b307f3e98373a483fc1eeff06a1c5fa7d5e6aec786bb"",""position"":""2"",""tradeSummary"":"""",""uniswapPair"":""0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9"",""victim"":""0x7b9d4d8772b8705ddc7456daf821c3022dda0504""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15543986,""hash"":""0x3b5e0171d7caf76f76d766c2b3ed9a828188b0f3e03c2a5c2420b6e7a2902f1d"",""timestamp"":""2022-09-16T05:02:11Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0x90763cf0ceb2d3ea37702d69db885e498eee14fb"",""0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9""]","[{""address"":""0x90763cf0ceb2d3ea37702d69db885e498eee14fb"",""name"":"""",""projectId"":""""},{""address"":""0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9"",""name"":""Pair"",""projectId"":""uniswap_v2""}]",2022-09-16T05:02:24.106304962Z,Attack type: Sandwich,0x86caa0e08d5a07159c30e1b490be8342b3760b4ab94c9fa21111d6b5938d1893,"{""block"":""15543982"",""hash"":""0xa6d19412c9a206eb1b103ab6caf18aeed8e50e2151bcb21643bd85aae00f552e"",""position"":""1"",""tradeSummary"":""WETH for XMON"",""uniswapPair"":""0x4bacaaabe3e96959ddf3269d3092d5cea88fefe9"",""victim"":""0x90763cf0ceb2d3ea37702d69db885e498eee14fb""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543986,""hash"":""0x3b5e0171d7caf76f76d766c2b3ed9a828188b0f3e03c2a5c2420b6e7a2902f1d"",""timestamp"":""2022-09-16T05:02:11Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0xa009fa1ac416ec02f6f902a3a4a584b092ae6123"",""0x26ce49c08ee71aff0c43db8f8b9bea950b6cdc67""]","[{""address"":""0xa009fa1ac416ec02f6f902a3a4a584b092ae6123"",""name"":"""",""projectId"":""""},{""address"":""0x26ce49c08ee71aff0c43db8f8b9bea950b6cdc67"",""name"":""Pair"",""projectId"":""uniswap_v2""}]",2022-09-16T04:56:23.685232315Z,Attack type: Sandwich,0x94b6fb0e8caab50e86482fc1ba291ac62e607fda31076151a58611122c0ddbcb,"{""block"":""15543952"",""hash"":""0x1e8e92583e37e5c3f1fb63a3efeb291e56d142c8a54af88eb672f366e7cc5adc"",""position"":""1"",""tradeSummary"":""WETH for HT"",""uniswapPair"":""0x26ce49c08ee71aff0c43db8f8b9bea950b6cdc67"",""victim"":""0xa009fa1ac416ec02f6f902a3a4a584b092ae6123""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543956,""hash"":""0x3261e91268cdf7633634a8a8f575bb9deca613f07d85e84ac542d5e560083d93"",""timestamp"":""2022-09-16T04:56:11Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0x26ce49c08ee71aff0c43db8f8b9bea950b6cdc67"",""0xa009fa1ac416ec02f6f902a3a4a584b092ae6123""]","[{""address"":""0x26ce49c08ee71aff0c43db8f8b9bea950b6cdc67"",""name"":""Pair"",""projectId"":""uniswap_v2""},{""address"":""0xa009fa1ac416ec02f6f902a3a4a584b092ae6123"",""name"":"""",""projectId"":""""}]",2022-09-16T04:55:31.564394035Z,Attack type: Sandwich,0x4219ea98ac5a9319f823d65b1142ae5b20b39412d041d8136a783f8ff949eba5,"{""block"":""15543948"",""hash"":""0xbbdec99c75ae278cffd764c7579aeba52056cac2a0a2313759fbea25b7d6338a"",""position"":""1"",""tradeSummary"":""WETH for HT"",""uniswapPair"":""0x26ce49c08ee71aff0c43db8f8b9bea950b6cdc67"",""victim"":""0xa009fa1ac416ec02f6f902a3a4a584b092ae6123""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543952,""hash"":""0xac7184810dbfa811ec1b2c50e577b63bdec3774c8239a8fa4d71efffc7693320"",""timestamp"":""2022-09-16T04:55:23Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0x26ce49c08ee71aff0c43db8f8b9bea950b6cdc67"",""0xd5cf0cb9a8df9b46f077f561d8b76c34a69bd82f""]","[{""address"":""0x26ce49c08ee71aff0c43db8f8b9bea950b6cdc67"",""name"":""Pair"",""projectId"":""uniswap_v2""},{""address"":""0xd5cf0cb9a8df9b46f077f561d8b76c34a69bd82f"",""name"":"""",""projectId"":""""}]",2022-09-16T04:51:08.878871673Z,Attack type: Sandwich,0xf0534c9811f06156ad9b94b6fa43c3ad7f146da945083ab729e228cee1c1cee2,"{""block"":""15543926"",""hash"":""0x72a1c02fac3995b5abd00e929135b5dec14c73d3b11e2d94f9ae28f344dab52b"",""position"":""2"",""tradeSummary"":"""",""uniswapPair"":""0x26ce49c08ee71aff0c43db8f8b9bea950b6cdc67"",""victim"":""0xd5cf0cb9a8df9b46f077f561d8b76c34a69bd82f""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543931,""hash"":""0x1cd180794b3e2a198571b9c9dc421a8d373160821fd033691e5409d96a211a84"",""timestamp"":""2022-09-16T04:50:59Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""0x6cbd3a415a440ee6514f0bc1e0bf22871343441f""]","[{""address"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""name"":""Pair"",""projectId"":""uniswap_v2""},{""address"":""0x6cbd3a415a440ee6514f0bc1e0bf22871343441f"",""name"":"""",""projectId"":""""}]",2022-09-16T04:12:54.776034655Z,Attack type: Sandwich,0x0926af29f8589924fbcd17bd8000e7efa75023f4b963982dcf8d350bb7ae553b,"{""block"":""15543739"",""hash"":""0xd220c7ee7f56fae2cb61e4ddfab93d812ba4d5a663e327c0417816b0e23dd10d"",""position"":""1"",""tradeSummary"":""GLM for WETH"",""uniswapPair"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""victim"":""0x6cbd3a415a440ee6514f0bc1e0bf22871343441f""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543743,""hash"":""0xd2f8e658fd521dc89c5748ef4c047f2692eeb976de42135a2b53a0facfe48ac1"",""timestamp"":""2022-09-16T04:12:47Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""0x08c5b0521d780f31061cf6f0089caf6e46e46c12""]","[{""address"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""name"":""Pair"",""projectId"":""uniswap_v2""},{""address"":""0x08c5b0521d780f31061cf6f0089caf6e46e46c12"",""name"":"""",""projectId"":""""}]",2022-09-16T04:11:59.83617072Z,Attack type: Frontrunning,0xba0d93967b9ebc7e3e20f1074b196f2f58c438c709881d1ba5f25ce3cda2893b,"{""block"":""15543734"",""hash"":""0x214ca0f64fbf0c677e8b7d45c761f088ed688927956788275f16a0f58e84b68f"",""position"":""12"",""tradeSummary"":"""",""uniswapPair"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""victim"":""0x08c5b0521d780f31061cf6f0089caf6e46e46c12""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543738,""hash"":""0x0ffc195c06e3f7c1372756652d52172968444d3c50fdc169922a4eb3c37bb620"",""timestamp"":""2022-09-16T04:11:47Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0x2084c8115d97a12114a70a27198c3591b6df7d3e"",""0xef5a3745f822f8f83693564c54904d7ff156cfb2""]","[{""address"":""0x2084c8115d97a12114a70a27198c3591b6df7d3e"",""name"":""Pair"",""projectId"":""uniswap_v2""},{""address"":""0xef5a3745f822f8f83693564c54904d7ff156cfb2"",""name"":"""",""projectId"":""""}]",2022-09-16T04:10:14.978454724Z,Attack type: Frontrunning,0xabec118f183bc12c0eccb5785cccbced33d23d9a91fbfb6c6118652b6a073d67,"{""block"":""15543725"",""hash"":""0x8137bbcddb76a3d6e8b7ffa34a2a0ec096389ce8b0c3d3aa8c122a12f4225566"",""position"":""10"",""tradeSummary"":"""",""uniswapPair"":""0x2084c8115d97a12114a70a27198c3591b6df7d3e"",""victim"":""0xef5a3745f822f8f83693564c54904d7ff156cfb2""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543729,""hash"":""0x77eddc23a4274d1837d96f6eaf1fb3a214f7a4e48504bc3dc57fd6f4a27f2491"",""timestamp"":""2022-09-16T04:09:59Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0x5eb656432b07fb784c0455e58f865bde2a7fac82"",""0xb5f790a03b7559312d9e738df5056a4b4c8459f4""]","[{""address"":""0x5eb656432b07fb784c0455e58f865bde2a7fac82"",""name"":"""",""projectId"":""""},{""address"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""name"":""Pair"",""projectId"":""uniswap_v2""}]",2022-09-16T04:08:31.452030913Z,Attack type: Sandwich,0xb265a5089b1b4f0e883f9c098cf1477caadb4acb73e3970b1c8fd04c930271aa,"{""block"":""15543716"",""hash"":""0x916959e6497a3f9d98bdf6477e2c44f06519bb3cc5256958eb3acf411ec3831f"",""position"":""1"",""tradeSummary"":""WETH for GLM"",""uniswapPair"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""victim"":""0x5eb656432b07fb784c0455e58f865bde2a7fac82""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543720,""hash"":""0xf31d7a5304144a47105976cad84c9274f6460424a9ecdce90de92f1513aecffc"",""timestamp"":""2022-09-16T04:08:11Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0x437f404baa869e62683b4420d3e7eee349141e97"",""0xb5f790a03b7559312d9e738df5056a4b4c8459f4""]","[{""address"":""0x437f404baa869e62683b4420d3e7eee349141e97"",""name"":"""",""projectId"":""""},{""address"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""name"":""Pair"",""projectId"":""uniswap_v2""}]",2022-09-16T04:08:31.472659468Z,Attack type: Frontrunning,0xafcfbe6e0e18eb038915da53aba4b3acea28078b7be8d11e9b06bc28f0c669e2,"{""block"":""15543716"",""hash"":""0x01e4b5fcfb00f555fbfa15a100e96ca6e33e7c2bb880f98e169fb56bc1cfbdbc"",""position"":""10"",""tradeSummary"":"""",""uniswapPair"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""victim"":""0x437f404baa869e62683b4420d3e7eee349141e97""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543720,""hash"":""0xf31d7a5304144a47105976cad84c9274f6460424a9ecdce90de92f1513aecffc"",""timestamp"":""2022-09-16T04:08:11Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0x2084c8115d97a12114a70a27198c3591b6df7d3e"",""0x60530f5ca4cb9907e0fbe67ca3afcbfe56d19a5c""]","[{""address"":""0x2084c8115d97a12114a70a27198c3591b6df7d3e"",""name"":""Pair"",""projectId"":""uniswap_v2""},{""address"":""0x60530f5ca4cb9907e0fbe67ca3afcbfe56d19a5c"",""name"":"""",""projectId"":""""}]",2022-09-16T04:08:10.112152632Z,Attack type: Sandwich,0x102afbb0ce0a9b174aae569d8be3f5e9a38a065f4ea479935d4023030040975b,"{""block"":""15543715"",""hash"":""0x34ade369b390148caff7ddf395a5d090f5ebac0b86d5710b54c743ed35143e90"",""position"":""12"",""tradeSummary"":"""",""uniswapPair"":""0x2084c8115d97a12114a70a27198c3591b6df7d3e"",""victim"":""0x60530f5ca4cb9907e0fbe67ca3afcbfe56d19a5c""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543719,""hash"":""0x8410d64e5002bad90faba59b789393d42116232fba43951d44901f1f01240b55"",""timestamp"":""2022-09-16T04:07:59Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0x1053807f5820842612d28a94855d20aa85a17e95"",""0x0ddcda72833e8cbc4f94c24bc7a1baf14853e76e""]","[{""address"":""0x1053807f5820842612d28a94855d20aa85a17e95"",""name"":"""",""projectId"":""""},{""address"":""0x0ddcda72833e8cbc4f94c24bc7a1baf14853e76e"",""name"":""Pair"",""projectId"":""uniswap_v2""}]",2022-09-16T04:07:47.474961318Z,Attack type: Sandwich,0x4173decb7f83ca87e0f7c1e07090926a33f0cd505aa1a5bd2340d81493ea4157,"{""block"":""15543713"",""hash"":""0x035f9c5483179eb18f01b65bf1934d1a83555177ee3ca8c405d678a59f342c91"",""position"":""9"",""tradeSummary"":"""",""uniswapPair"":""0x0ddcda72833e8cbc4f94c24bc7a1baf14853e76e"",""victim"":""0x1053807f5820842612d28a94855d20aa85a17e95""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543717,""hash"":""0x4babf7509409612646a4f3b6b3c9cc1e515666f1636cab4fdff36767786c93cb"",""timestamp"":""2022-09-16T04:07:35Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0xe2e54270813c5c44a6f97d123120952a12b00000"",""0xb5f790a03b7559312d9e738df5056a4b4c8459f4""]","[{""address"":""0xe2e54270813c5c44a6f97d123120952a12b00000"",""name"":"""",""projectId"":""""},{""address"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""name"":""Pair"",""projectId"":""uniswap_v2""}]",2022-09-16T04:07:24.996708508Z,Attack type: Sandwich,0x9faef2bd212b3f9956721ae9c2aa56be88a806610ac5a955444246b50a5b22fa,"{""block"":""15543711"",""hash"":""0x5fd139e67996375a35a27915ccc4ee1541d119a0c8f3bf780b76bbd2f2a3b3ed"",""position"":""1"",""tradeSummary"":""GLM for WETH"",""uniswapPair"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""victim"":""0xe2e54270813c5c44a6f97d123120952a12b00000""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543715,""hash"":""0xb387fa37dd90171c38de4094d4d67bcff679193c2a57c5d3546b8ea9f8f41a96"",""timestamp"":""2022-09-16T04:07:11Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0x27fd0857f0ef224097001e87e61026e39e1b04d1"",""0xcfc387b2d9bb52200d942752f44a41d658ee82de""]","[{""address"":""0x27fd0857f0ef224097001e87e61026e39e1b04d1"",""name"":""Pair"",""projectId"":""uniswap_v2""},{""address"":""0xcfc387b2d9bb52200d942752f44a41d658ee82de"",""name"":"""",""projectId"":""""}]",2022-09-16T04:05:38.747638582Z,Attack type: Sandwich,0x3cfde4c0a5a1ed79d806434911cb2e5bfa22c4258b8a40c54d77a4a1b235d922,"{""block"":""15543702"",""hash"":""0x06b71973241f8a25644b2be44b8f6966395a2a7c8ed09ca5bf4798f7571297e8"",""position"":""3"",""tradeSummary"":""WETH for RLY"",""uniswapPair"":""0x27fd0857f0ef224097001e87e61026e39e1b04d1"",""victim"":""0xcfc387b2d9bb52200d942752f44a41d658ee82de""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543706,""hash"":""0x12a687b6c7391a9def8ff4806b6990987193cf2c8722c47d648ce85bc5e64d38"",""timestamp"":""2022-09-16T04:05:23Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0x27fd0857f0ef224097001e87e61026e39e1b04d1"",""0x6cbd3a415a440ee6514f0bc1e0bf22871343441f""]","[{""address"":""0x27fd0857f0ef224097001e87e61026e39e1b04d1"",""name"":""Pair"",""projectId"":""uniswap_v2""},{""address"":""0x6cbd3a415a440ee6514f0bc1e0bf22871343441f"",""name"":"""",""projectId"":""""}]",2022-09-16T04:04:45.311998903Z,Attack type: Sandwich,0x8f6e0a989ae5392717a885fac8bfc89d266e66b2bc8e0dd53ba4cbeb0777c87a,"{""block"":""15543698"",""hash"":""0x462c32e02d65afff72bd1c04f745e3a96e6e18bd14107c8c90c3f39939284c94"",""position"":""1"",""tradeSummary"":""WETH for RLY"",""uniswapPair"":""0x27fd0857f0ef224097001e87e61026e39e1b04d1"",""victim"":""0x6cbd3a415a440ee6514f0bc1e0bf22871343441f""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543702,""hash"":""0x95a739f39fc9fd8de0da3b9d920154c4d5fff65e1e9510fe832a4b4545bc72f1"",""timestamp"":""2022-09-16T04:04:35Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0x5eb656432b07fb784c0455e58f865bde2a7fac82"",""0xb5f790a03b7559312d9e738df5056a4b4c8459f4""]","[{""address"":""0x5eb656432b07fb784c0455e58f865bde2a7fac82"",""name"":"""",""projectId"":""""},{""address"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""name"":""Pair"",""projectId"":""uniswap_v2""}]",2022-09-16T04:03:53.776770382Z,Attack type: Sandwich,0x7633a4a4196e43917db6c62aed5ebd748fbb693262240d24ceb72d67e4f4f9fa,"{""block"":""15543693"",""hash"":""0x3cdb025ffd8d02e5891c506c91a567c9b7ac5c130f9a8bdfe3b1a81791d37666"",""position"":""7"",""tradeSummary"":"""",""uniswapPair"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""victim"":""0x5eb656432b07fb784c0455e58f865bde2a7fac82""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,2,"{""transactionHash"":"""",""block"":{""number"":15543697,""hash"":""0x687ea399705cd180178275a31cc54eef6c5e4e24d4f541c49fccd3a5a52e2abe"",""timestamp"":""2022-09-16T04:03:35Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""0x5eb656432b07fb784c0455e58f865bde2a7fac82""]","[{""address"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""name"":""Pair"",""projectId"":""uniswap_v2""},{""address"":""0x5eb656432b07fb784c0455e58f865bde2a7fac82"",""name"":"""",""projectId"":""""}]",2022-09-16T04:03:31.53306175Z,Attack type: Sandwich,0x4ba9209399963b117ced02511fa5559d7583331955994ecd7a820ab0d4df4200,"{""block"":""15543693"",""hash"":""0x3cdb025ffd8d02e5891c506c91a567c9b7ac5c130f9a8bdfe3b1a81791d37666"",""position"":""7"",""tradeSummary"":"""",""uniswapPair"":""0xb5f790a03b7559312d9e738df5056a4b4c8459f4"",""victim"":""0x5eb656432b07fb784c0455e58f865bde2a7fac82""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,1,"{""transactionHash"":"""",""block"":{""number"":15543696,""hash"":""0xfb6c07ff805877901ae71c75ae3b5d8b414ae9c5fb114a302edfac2a9d154e02"",""timestamp"":""2022-09-16T04:03:23Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
"[""0xd1b72a8ae97f51d7bd4af257a124175688924001"",""0x60c5bf43140d6341bebfe13293567fafbe01d65b""]","[{""address"":""0xd1b72a8ae97f51d7bd4af257a124175688924001"",""name"":"""",""projectId"":""""},{""address"":""0x60c5bf43140d6341bebfe13293567fafbe01d65b"",""name"":""Pair"",""projectId"":""uniswap_v2""}]",2022-09-16T03:56:08.830182778Z,Attack type: Sandwich,0x89caf0d37edd20b54cbce3b29afc7dacc7ff1dcbaad7f1e2ab0e0146fd25b9b7,"{""block"":""15543654"",""hash"":""0x00be7079b31b54173ac8c85d1620adabb253978bf821cf15cab39e1d41a062c6"",""position"":""1"",""tradeSummary"":""WETH for DHV"",""uniswapPair"":""0x60c5bf43140d6341bebfe13293567fafbe01d65b"",""victim"":""0xd1b72a8ae97f51d7bd4af257a124175688924001""}",Uniswap V2 Arbitrage Attack Detected,"[{""contacts"":null,""name"":""Uniswap V2"",""id"":""uniswap_v2"",""social"":null,""token"":null,""website"":null}]",ethereum,MEDIUM,3,"{""transactionHash"":"""",""block"":{""number"":15543658,""hash"":""0xc10e4ef3c547334fa7ef5d72bc49a0f046ee4309c95bf7d00fb22a05a1f0bd70"",""timestamp"":""2022-09-16T03:55:47Z"",""chainId"":1},""bot"":{""id"":""0x1365f32e133689ca0995f89658e1e8df308c5ed30f5f16ca53c16b7439c6d18c"",""name"":null}}",SUSPICIOUS
